violation_code,law_code,description,description_corrected
5096,"Art. 163, c/c Art. 162, Inc. V",Entregar veículo a pessoa com CNH/PPD vencida há mais de trinta dias.,Entregar a direção do veículo a pessoa com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias.
5118,"Art. 164, c/c Art. 162, Inc. I","Permitir posse/condução do veículo a pessoa sem Carteira Nacional de Habilitação, Permissão para Dir","Permitir que pessoa sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor tome posse do veículo e passe a conduzi-lo na via."
5118,"Art. 164, c/c Art. 162, Inc. I","Permitir posse/conduo do veculo a pessoa sem Carteira Nacional de Habilitao, Permisso para Dir","Permitir que pessoa sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor tome posse do veículo e passe a conduzi-lo na via."
5126,"Art. 164, c/c Art. 162, Inc. II","Permitir posse/condução do veículo a pessoa com Carteira Nacional de Habilitação, Permissão para Dir","Permitir que pessoa com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor cassada ou com suspensão do direito de dirigir tome posse do veículo e passe a conduzi-lo na via."
5126,"Art. 164, c/c Art. 162, Inc. II","Permitir posse/conduo do veculo a pessoa com Carteira Nacional de Habilitao, Permisso para Dir","Permitir que pessoa com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor cassada ou com suspensão do direito de dirigir tome posse do veículo e passe a conduzi-lo na via."
5134,"Art. 164, c/c Art. 162, Inc. III",Permitir posse/condução do veículo a pessoa com CNH de categoria diferente da do veículo.,Permitir que pessoa com Carteira Nacional de Habilitação de categoria diferente da do veículo tome posse do veículo e passe a conduzi-lo na via.
5134,"Art. 164, c/c Art. 162, Inc. III",Permitir posse/conduo do veculo a pessoa com CNH de categoria diferente da do veculo.,Permitir que pessoa com Carteira Nacional de Habilitação de categoria diferente da do veículo tome posse do veículo e passe a conduzi-lo na via.
5142,"Art. 164, c/c Art. 162, Inc. V",Permitir posse/condução do veículo a pessoa com CNH/PPD vencida há mais de 30 dias.,Permitir que pessoa com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias tome posse do veículo e passe a conduzi-lo na via.
5142,"Art. 164, c/c Art. 162, Inc. V",Permitir posse/conduo do veculo a pessoa com CNH/PPD vencida h mais de 30 dias.,Permitir que pessoa com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias tome posse do veículo e passe a conduzi-lo na via.
5150,"Art. 164, c/c Art. 162, Inc. VI",Permitir posse/condução do veículo a pessoa sem usar lentes corretoras de visão.,Permitir que pessoa sem usar lentes corretoras de visão tome posse do veículo e passe a conduzi-lo na via.
5150,"Art. 164, c/c Art. 162, Inc. VI",Permitir posse/conduo do veculo a pessoa sem usar lentes corretoras de viso.,Permitir que pessoa sem usar lentes corretoras de visão tome posse do veículo e passe a conduzi-lo na via.
5169,Art. 165,Dirigir sob a influência de álcool.,Dirigir sob a influência de álcool.
5169,Art. 165,Dirigir sob a influência de qualquer substância psicoativa que determine dependência,Dirigir sob a influência de qualquer substância psicoativa que determine dependência.
5169,Art. 165,Dirigir sob a influncia de lcool.,Dirigir sob a influência de álcool.
5169,Art. 165,Dirigir sob a influncia de qualquer substncia psicoativa que determine dependncia,Dirigir sob a influência de qualquer substância psicoativa que determine dependência.
5177,Art. 166,"Confiar ou entregar a direção de veículo a pessoa que, mesmo habilitada, por seu estado físico ou ps","Confiar ou entregar a direção de veículo a pessoa que, mesmo habilitada, por seu estado físico ou psíquico, não estiver em condições de dirigi-lo com segurança."
5185,Art. 167,"Deixar o condutor de usar o cinto de segurana, conforme o Art. 65, do CTB.","Deixar o condutor de usar o cinto de segurança, conforme o Art. 65, do CTB."
5185,Art. 167,"Deixar o condutor de usar o cinto de segurança, conforme o Art. 65, do CTB.","Deixar o condutor de usar o cinto de segurança, conforme o Art. 65, do CTB."
5185,Art. 167,"Deixar o passageiro de usar o cinto de segurana, conforme o Art. 65, do CTB.","Deixar o passageiro de usar o cinto de segurança, conforme o Art. 65, do CTB."
5185,Art. 167,"Deixar o passageiro de usar o cinto de segurança, conforme o Art. 65, do CTB.","Deixar o passageiro de usar o cinto de segurança, conforme o Art. 65, do CTB."
5193,Art.168,Transportar crianas sem observncia das normas de segurana especiais estabelecidas no CTB.,Transportar crianças em veículo automotor sem observância das normas de segurança especiais estabelecidas no Código de Trânsito Brasileiro.
5193,Art.168,Transportar crianças sem observância das normas de segurança especiais estabelecidas no CTB.,Transportar crianças em veículo automotor sem observância das normas de segurança especiais estabelecidas no Código de Trânsito Brasileiro.
5207,Art. 169,Dirigir sem atenção ou sem os cuidados indispensáveis à Segurança.,Dirigir sem atenção ou sem os cuidados indispensáveis à segurança.
5207,Art. 169,Dirigir sem ateno ou sem os cuidados indispensveis Segurana.,Dirigir sem atenção ou sem os cuidados indispensáveis à segurança.
5215,Art. 170,Dirigir ameaando os demais veculos.,Dirigir ameaçando os demais veículos.
5215,Art. 170,Dirigir ameaando os pedestres que estejam atravessando a via pblica.,Dirigir ameaçando os pedestres que estejam atravessando a via pública.
5215,Art. 170,Dirigir ameaçando os demais veículos.,Dirigir ameaçando os demais veículos.
5215,Art. 170,Dirigir ameaçando os pedestres que estejam atravessando a via pública.,Dirigir ameaçando os pedestres que estejam atravessando a via pública.
5223,Art. 171,"Usar o veculo para arremessar sobre os pedestres, gua ou detritos.",Usar o veículo para arremessar água ou detritos sobre os pedestres.
5223,Art. 171,"Usar o veculo para arremessar sobre os veculos, gua ou detritos.",Usar o veículo para arremessar água ou detritos sobre os veículos.
5223,Art. 171,"Usar o veículo para arremessar sobre os pedestres, água ou detritos.",Usar o veículo para arremessar água ou detritos sobre os pedestres.
5223,Art. 171,"Usar o veículo para arremessar sobre os veículos, água ou detritos.",Usar o veículo para arremessar água ou detritos sobre os veículos.
5231,Art. 172,Abandonar na via objetos ou substâncias.,Abandonar na via objetos ou substâncias.
5231,Art. 172,Abandonar na via objetos ou substncias.,Abandonar na via objetos ou substâncias.
5231,Art. 172,Atirar do veculo objetos ou substncias.,Atirar do veículo objetos ou substâncias.
5231,Art. 172,Atirar do veículo objetos ou substâncias.,Atirar do veículo objetos ou substâncias.
5240,Art. 173,Disputar corrida.,Disputar corrida.
5258,Art. 174,"Promover, na via, exibição e demonstração de perícia em manobra de veículo sem permissão da autorida","Promover, na via, exibição e demonstração de perícia em manobra de veículo sem permissão da autoridade de trânsito com circunscrição sobre a via."
5258,Art. 174,"Promover, na via, exibio e demonstrao de percia em manobra de veculo sem permisso da autorida","Promover, na via, exibição e demonstração de perícia em manobra de veículo sem permissão da autoridade de trânsito com circunscrição sobre a via."
5266,Art. 174,"Participar na via, como condutor, de competio sem permisso da autoridade de trnsito com circunsc","Participar, na via, como condutor, de exibição e demonstração de perícia em manobra de veículo sem permissão da autoridade de trânsito com circunscrição sobre a via."
5266,Art. 174,"Participar na via, como condutor, de exibição e demonstração de perícia em manobra de veículo, sem p","Participar, na via, como condutor, de exibição e demonstração de perícia em manobra de veículo sem permissão da autoridade de trânsito com circunscrição sobre a via."
5266,Art. 174,"Participar na via, como condutor, de exibio e demonstrao de percia em manobra de veculo, sem p","Participar, na via, como condutor, de exibição e demonstração de perícia em manobra de veículo sem permissão da autoridade de trânsito com circunscrição sobre a via."
5274,Art. 175,Utilizar veculo para demonstrar/exibir manobra perigosa mediante arrancada brusca,"Utilizar-se de veículo para demonstrar ou exibir manobra perigosa, mediante arrancada brusca, derrapagem ou frenagem com deslizamento ou arrastamento de pneus"
5274,Art. 175,Utilizar veculo para demonstrar/exibir manobra perigosa mediante derrapagem/frenagem com deslizamen,"Utilizar-se de veículo para demonstrar ou exibir manobra perigosa, mediante arrancada brusca, derrapagem ou frenagem com deslizamento ou arrastamento de pneus"
5274,Art. 175,Utilizar veículo para demonstrar/exibir manobra perigosa mediante arrancada brusca,"Utilizar-se de veículo para demonstrar ou exibir manobra perigosa, mediante arrancada brusca, derrapagem ou frenagem com deslizamento ou arrastamento de pneus"
5274,Art. 175,Utilizar veículo para demonstrar/exibir manobra perigosa mediante derrapagem/frenagem com deslizamen,"Utilizar-se de veículo para demonstrar ou exibir manobra perigosa, mediante arrancada brusca, derrapagem ou frenagem com deslizamento ou arrastamento de pneus"
5282,"Art. 176, Inc. I","Deixar o condutor envolvido em acidente com vítima de prestar ou providenciar socorro à vítima, pode","Deixar o condutor envolvido em sinistro com vítima de prestar ou providenciar socorro à vítima, podendo fazê-lo."
5282,"Art. 176, Inc. I","Deixar o condutor envolvido em acidente com vtima de prestar ou providenciar socorro vtima, pode","Deixar o condutor envolvido em sinistro com vítima de prestar ou providenciar socorro à vítima, podendo fazê-lo."
5290,"Art. 176, Inc. II","Deixar o condutor envolvido em acidente com vítima de adotar providências, podendo fazê-lo, no senti","Deixar o condutor envolvido em sinistro com vítima de adotar providências, podendo fazê-lo, no sentido de evitar perigo para o trânsito no local."
5290,"Art. 176, Inc. II","Deixar o condutor envolvido em acidente com vtima de adotar providncias, podendo faz-lo, no senti","Deixar o condutor envolvido em sinistro com vítima de adotar providências, podendo fazê-lo, no sentido de evitar perigo para o trânsito no local."
5304,"Art. 176, Inc. III","Deixar o condutor envolvido em acidente com vítima de preservar o local, de forma a facilitar os tra","Deixar o condutor envolvido em sinistro com vítima de preservar o local, de forma a facilitar os trabalhos da polícia e da perícia."
5304,"Art. 176, Inc. III","Deixar o condutor envolvido em acidente com vtima de preservar o local, de forma a facilitar os tra","Deixar o condutor envolvido em sinistro com vítima de preservar o local, de forma a facilitar os trabalhos da polícia e da perícia."
5312,"Art. 176, Inc. IV",Deixar o condutor envolvido em acidente com vtima de adotar providncias para remover o veculo do,"Deixar o condutor envolvido em sinistro com vítima de adotar providências para remover o veículo do local, quando determinadas por policial ou agente da autoridade de trânsito."
5320,"Art. 176, Inc. V",Deixar o condutor envolvido em acidente com vtima de identificar-se ao policial e de lhe prestar in,Deixar o condutor envolvido em sinistro com vítima de identificar-se ao policial e de lhe prestar informações necessárias à confecção do boletim de ocorrência.
5347,Art. 178,"Deixar o condutor, envolvido em acidente sem vítima, de adotar providências para remover o veículo d","Deixar o condutor envolvido em sinistro sem vítima de adotar providências para remover o veículo do local, quando necessária tal medida para assegurar a segurança e a fluidez do trânsito."
5347,Art. 178,"Deixar o condutor, envolvido em acidente sem vtima, de adotar providncias para remover o veculo d","Deixar o condutor envolvido em sinistro sem vítima de adotar providências para remover o veículo do local, quando necessária tal medida para assegurar a segurança e a fluidez do trânsito."
5363,"Art. 179, Inc. II","Fazer ou deixar que se faa reparo em veculo na via pblica, salvo nos casos de impedimento absolut","Fazer ou deixar que se faça reparo em veículo na via pública, salvo nos casos de impedimento absoluto de sua remoção e em que o veículo esteja devidamente sinalizado."
5371,Art. 180,Ter seu veculo imobilizado na via por falta de combustvel.,Ter seu veículo imobilizado na via por falta de combustível.
5371,Art. 180,Ter seu veículo imobilizado na via por falta de combustível.,Ter seu veículo imobilizado na via por falta de combustível.
5380,"Art. 181, Inc. I",Estacionar o veculo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transvers,Estacionar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.
5380,"Art. 181, Inc. I",Estacionar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transvers,Estacionar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.
5398,"Art. 181, Inc. II",Estacionar o veculo afastado da guia da calada (meio-fio) de cinqenta centmetros a um metro.,Estacionar o veículo afastado da guia da calçada (meio-fio) de cinquenta centímetros a um metro.
5398,"Art. 181, Inc. II",Estacionar o veículo afastado da guia da calçada (meio-fio) de cinqüenta centímetros a um metro.,Estacionar o veículo afastado da guia da calçada (meio-fio) de cinquenta centímetros a um metro.
5401,"Art. 181, Inc. III",Estacionar o veculo afastado da guia da calada (meio-fio) a mais de um metro.,Estacionar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.
5401,"Art. 181, Inc. III",Estacionar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.,Estacionar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.
5410,"Art. 181, Inc. IV",Estacionar o veculo em desacordo com as posies estabelecidas no Cdigo de Trnsito Brasileiro.,Estacionar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.
5410,"Art. 181, Inc. IV",Estacionar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.,Estacionar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.
5428,"Art. 181, Inc. V",Estacionar o veculo na pista de rolamento das estradas.,Estacionar o veículo na pista de rolamento das estradas.
5428,"Art. 181, Inc. V",Estacionar o veculo na pista de rolamento das rodovias.,Estacionar o veículo na pista de rolamento das rodovias.
5428,"Art. 181, Inc. V",Estacionar o veculo na pista de rolamento das vias de trnsito rpido.,Estacionar o veículo na pista de rolamento das vias de trânsito rápido.
5428,"Art. 181, Inc. V",Estacionar o veculo na pista de rolamento das vias dotadas de acostamento.,Estacionar o veículo na pista de rolamento das vias dotadas de acostamento.
5428,"Art. 181, Inc. V",Estacionar o veículo na pista de rolamento das estradas.,Estacionar o veículo na pista de rolamento das estradas.
5428,"Art. 181, Inc. V",Estacionar o veículo na pista de rolamento das vias de trânsito rápido.,Estacionar o veículo na pista de rolamento das vias de trânsito rápido.
5428,"Art. 181, Inc. V",Estacionar o veículo na pista de rolamento das vias dotadas de acostamento.,Estacionar o veículo na pista de rolamento das vias dotadas de acostamento.
5436,"Art. 181, Inc. VI","Estacionar veculo junto ou sobre hidrantes de incndio, registro de gua ou tampas de poos de visi","Estacionar veículo junto ou sobre hidrantes de incêndio, registro de água ou tampas de poços de visita de galerias subterrâneas, desde que devidamente identificados."
5436,"Art. 181, Inc. VI","Estacionar veículo junto ou sobre hidrantes de incêndio, registro de água ou tampas de poços de visi","Estacionar veículo junto ou sobre hidrantes de incêndio, registro de água ou tampas de poços de visita de galerias subterrâneas, desde que devidamente identificados."
5444,"Art. 181, Inc. VII","Estacionar o veculo nos acostamentos, salvo motivo de fora maior.","Estacionar o veículo nos acostamentos, salvo motivo de força maior."
5444,"Art. 181, Inc. VII","Estacionar o veículo nos acostamentos, salvo motivo de força maior.","Estacionar o veículo nos acostamentos, salvo motivo de força maior."
5452,"Art. 181, Inc. VIII",Estacionar o veculo ao lado ou sobre canteiros centrais divisores de pista de rolamento.,Estacionar o veículo ao lado ou sobre canteiros centrais divisores de pista de rolamento.
5452,"Art. 181, Inc. VIII",Estacionar o veculo ao lado ou sobre gramados ou jardim pblico.,Estacionar o veículo ao lado ou sobre gramados ou jardim público.
5452,"Art. 181, Inc. VIII",Estacionar o veculo ao lado ou sobre marcas de canalizao.,Estacionar o veículo ao lado ou sobre marcas de canalização.
5452,"Art. 181, Inc. VIII",Estacionar o veculo nas ilhas ou refgios.,Estacionar o veículo nas ilhas ou refúgios.
5452,"Art. 181, Inc. VIII",Estacionar o veculo no passeio.,Estacionar o veículo no passeio.
5452,"Art. 181, Inc. VIII",Estacionar o veculo sobre ciclovia ou ciclofaixa.,Estacionar o veículo sobre ciclovia ou ciclofaixa.
5452,"Art. 181, Inc. VIII",Estacionar o veculo sobre faixa destinada a pedestre.,Estacionar o veículo sobre faixa destinada a pedestre.
5452,"Art. 181, Inc. VIII",Estacionar o veículo ao lado ou sobre canteiros centrais divisores de pista de rolamento.,Estacionar o veículo ao lado ou sobre canteiros centrais divisores de pista de rolamento.
5452,"Art. 181, Inc. VIII",Estacionar o veículo ao lado ou sobre gramados ou jardim público.,Estacionar o veículo ao lado ou sobre gramados ou jardim público.
5452,"Art. 181, Inc. VIII",Estacionar o veículo ao lado ou sobre marcas de canalização.,Estacionar o veículo ao lado ou sobre marcas de canalização.
5452,"Art. 181, Inc. VIII",Estacionar o veículo nas ilhas ou refúgios.,Estacionar o veículo nas ilhas ou refúgios.
5452,"Art. 181, Inc. VIII",Estacionar o veículo no passeio.,Estacionar o veículo no passeio.
5452,"Art. 181, Inc. VIII",Estacionar o veículo sobre ciclovia ou ciclofaixa.,Estacionar o veículo sobre ciclovia ou ciclofaixa.
5452,"Art. 181, Inc. VIII",Estacionar o veículo sobre faixa destinada a pedestre.,Estacionar o veículo sobre faixa destinada a pedestre.
5460,"Art. 181, Inc. IX","Estacionar o veculo onde houver guia de calada (meio-fio) rebaixada, destinada entrada ou sada",Estacionar o veículo onde houver guia de calçada (meio-fio) rebaixada destinada à entrada ou saída de veículos.
5460,"Art. 181, Inc. IX","Estacionar o veículo onde houver guia de calçada (meio-fio) rebaixada, destinada à entrada ou saída",Estacionar o veículo onde houver guia de calçada (meio-fio) rebaixada destinada à entrada ou saída de veículos.
5479,"Art. 181, Inc. X",Estacionar o veculo impedindo a movimentao de outro veculo.,Estacionar o veículo impedindo a movimentação de outro veículo.
5479,"Art. 181, Inc. X",Estacionar o veículo impedindo a movimentação de outro veículo.,Estacionar o veículo impedindo a movimentação de outro veículo.
5487,"Art. 181, Inc. XI",Estacionar o veculo ao lado de outro veculo em fila dupla.,Estacionar o veículo ao lado de outro veículo em fila dupla.
5487,"Art. 181, Inc. XI",Estacionar o veículo ao lado de outro veículo em fila dupla.,Estacionar o veículo ao lado de outro veículo em fila dupla.
5495,"Art. 181, Inc. XII","Estacionar o veculo na rea de cruzamento de vias, prejudicando a circulao de veculos e pedestre","Estacionar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestres."
5495,"Art. 181, Inc. XII","Estacionar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestre","Estacionar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestres."
5509,"Art. 181, Inc. XIII",Estacionar veculo onde houver sinalizao horizontal delimitadora de ponto de embarque e desembarqu,Estacionar veículo onde houver sinalização horizontal delimitadora de ponto de embarque ou desembarque de passageiros de transporte coletivo.
5509,"Art. 181, Inc. XIII",Estacionar veículo onde houver sinalização horizontal delimitadora de ponto de embarque e desembarqu,Estacionar veículo onde houver sinalização horizontal delimitadora de ponto de embarque ou desembarque de passageiros de transporte coletivo.
5517,"Art. 181, Inc. XIV",Estacionar o veculo nas pontes.,Estacionar o veículo nas pontes.
5517,"Art. 181, Inc. XIV",Estacionar o veculo nos tneis.,Estacionar o veículo nos túneis.
5517,"Art. 181, Inc. XIV",Estacionar o veculo nos viadutos.,Estacionar o veículo nos viadutos.
5517,"Art. 181, Inc. XIV",Estacionar o veículo nas pontes.,Estacionar o veículo nas pontes.
5517,"Art. 181, Inc. XIV",Estacionar o veículo nos túneis.,Estacionar o veículo nos túneis.
5517,"Art. 181, Inc. XIV",Estacionar o veículo nos viadutos.,Estacionar o veículo nos viadutos.
5525,"Art. 181, Inc. XV",Estacionar o veculo na contramo de direo.,Estacionar o veículo na contramão de direção.
5525,"Art. 181, Inc. XV",Estacionar o veículo na contramão de direção.,Estacionar o veículo na contramão de direção.
5533,"Art. 181, Inc. XVI","Estacionar o veculo em aclive ou declive, no estando devidamente freado e sem calo de segurana,","Estacionar o veículo em aclive ou declive, não estando devidamente freado e sem calço de segurança, quando se tratar de veículo com peso bruto total superior a 3.500 kg."
5541,"Art. 181, Inc. XVII",Estacionar o veculo em desacordo com as condies regulamentadas especificamente pela sinalizao.,Estacionar o veículo em desacordo com as condições regulamentadas especificamente pela sinalização.
5541,"Art. 181, Inc. XVII",Estacionar o veculo em desacordo com as condies regulamentadas - estacionamento rotativo.,Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: estacionamento rotativo.
5541,"Art. 181, Inc. XVII",Estacionar o veculo em desacordo com as condies regulamentadas - ponto ou vaga de txi.,Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: ponto ou vaga de táxi.
5541,"Art. 181, Inc. XVII",Estacionar o veculo em desacordo com as condies regulamentadas - vaga de carga / descarga.,Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: vaga de carga e descarga.
5541,"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas especificamente pela sinalização.,Estacionar o veículo em desacordo com as condições regulamentadas especificamente pela sinalização.
5541,"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: estacionamento rotativo.
5541,"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas - ponto ou vaga de táxi.,Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: ponto ou vaga de táxi.
5541,"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas - vaga de carga / descarga.,Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: vaga de carga e descarga.
5550,"Art. 181, Inc. XVIII",Estacionar o veculo em locais e horrios proibidos especificamente pela sinalizao (Placa - Proibi,"Estacionar o veículo em locais e horários proibidos especificamente pela sinalização: placa ""Proibido Estacionar""."
5550,"Art. 181, Inc. XVIII",Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (Placa - Proibi,"Estacionar o veículo em locais e horários proibidos especificamente pela sinalização: placa ""Proibido Estacionar""."
5568,"Art. 181, Inc. XIX",Estacionar o veculo em locais e horrios de estacionamento e parada proibidos pela sinalizao (pla,"Estacionar o veículo em locais e horários de estacionamento e parada proibidos pela sinalização: placa ""Proibido Parar e Estacionar""."
5568,"Art. 181, Inc. XIX",Estacionar o veículo em locais e horários de estacionamento e parada proibidos pela sinalização (pla,"Estacionar o veículo em locais e horários de estacionamento e parada proibidos pela sinalização: placa ""Proibido Parar e Estacionar""."
5576,"Art. 182, Inc. I",Parar o veculo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.,Parar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.
5576,"Art. 182, Inc. I",Parar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.,Parar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.
5584,"Art. 182, Inc. II",Parar o veculo afastado da guia da calada (meio-fio) de cinqenta centmetros a um metro.,Parar o veículo afastado da guia da calçada (meio-fio) de cinquenta centímetros a um metro.
5584,"Art. 182, Inc. II",Parar o veículo afastado da guia da calçada (meio-fio) de cinqüenta centímetros a um metro.,Parar o veículo afastado da guia da calçada (meio-fio) de cinquenta centímetros a um metro.
5592,"Art. 182, Inc. III",Parar o veculo afastado da guia da calada (meio-fio) a mais de um metro.,Parar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.
5592,"Art. 182, Inc. III",Parar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.,Parar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.
5606,"Art. 182, Inc. IV",Parar o veculo em desacordo com as posies estabelecidas no Cdigo de Trnsito Brasileiro.,Parar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.
5606,"Art. 182, Inc. IV",Parar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.,Parar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.
5614,"Art. 182, Inc. V",Parar o veculo na pista de rolamento das demais vias dotadas de acostamento.,Parar o veículo na pista de rolamento das demais vias dotadas de acostamento.
5614,"Art. 182, Inc. V",Parar o veculo na pista de rolamento das estradas.,Parar o veículo na pista de rolamento das estradas.
5614,"Art. 182, Inc. V",Parar o veculo na pista de rolamento das rodovias.,Parar o veículo na pista de rolamento das rodovias.
