semaforo	street_code	street_name	score	raw_location	location_index
30	61492	Rua Treze de Maio	1.000	Rua 13 de Maio	1
30	75108	Rua dos Palmares	1.000	Rua Dos Palmares	2
31	29335	Rua do Hospício	1.000	Rua do Hospício	1
31	31810	Rua Princesa Isabel	1.000	Rua Princesa Isabel	2
32	29335	Rua do Hospício	1.000	Rua do Hospício	1
32	56286	Avenida Visconde de Suassuna	0.667	Av. Visc. De Suassuna	2
33	29335	Rua do Hospício	1.000	Rua do Hospício	1
33	43664	Rua da Matriz	1.000	Rua da Matriz	2
34	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
34	18481	Avenida Cruz Cabuga	1.000	Av. Cruz Cabugá	2
35	19054	Avenida Dantas Barreto	1.000	Av. Dantas Barreto	1
35	30104	Rua Imperial	1.000	Rua Imperial	2
36	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
36	61492	Rua Treze de Maio	1.000	Rua 13 de Maio	2
37	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
37	59595	Avenida Rui Barbosa	1.000	Av. Rui Barbosa	2
38	98116	Avenida Advogado José Paulo Cavalcanti	1.000	Av. Adv. José Paulo Cavalcanti	1
39	45306	Rua Motocolombó	1.000	Rua Motocolombó	1
39	9016	Rua Professor Augusto Wanderley Filho	1.000	Rua Augusto Wanderley	2
40	32956	Rua Jener de Souza	0.667	Rua Jenner de Souza	2
41	52680	Rua do Príncipe	1.000	Rua do Príncipe	1
41	26565	Rua Gervásio Pires	1.000	Rua Gervásio Pires	2
42	10529	Avenida Beberibe	1.000	Av. Beberibe	1
42	10650	Estrada de Belém	1.000	Estrada de Belém	2
43	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
43	33405	Avenida João de Barros	1.000	Av. João de Barros	2
44	36641	Avenida Doutor José Rufino	1.000	Av. Dr. José Rufino	1
44	58050	Rua Rio Ipojuca	1.000	Rua Ipojuca	2
45	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
45	24082	Rua Fernando César D`Andrade	1.000	Rua Fernando Cesar	2
46	59382	Avenida Conselheiro Rosa e Silva	1.000	Av. Conselheiro Rosa e Silva	1
46	73237	Rua Amélia	1.000	Rua Amélia	2
47	59382	Avenida Conselheiro Rosa e Silva	1.000	Av. Conselheiro Rosa e Silva	1
47	53996	Avenida Santos Dumont	1.000	Av. Santos Dumont	2
48	59595	Avenida Rui Barbosa	1.000	Av. Rui Barbosa	1
48	73237	Rua Amélia	1.000	Rua Amélia	2
49	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
49	47171	Rua Odorico Mendes	1.000	Rua Odorico Mendes	2
50	36420	Rua José Osório	1.000	Rua José Osório	1
50	1880	Avenida Visconde de Albuquerque	0.667	Rua Visconde de Albuquerque	2
51	10910	Rua Benfica	1.000	Rua Benfica	1
51	57061	Estrada dos Remédios	1.000	Estrada dos Remédios	2
52	175	Avenida Engenheiro Abdias de Carvalho	1.000	Av. Abdias de Carvalho	1
52	57061	Estrada dos Remédios	1.000	Estrada dos Remédios	2
53	9032	Rua São Miguel	1.000	Rua São Miguel	1
53	57061	Estrada dos Remédios	1.000	Estrada dos Remédios	2
54	19054	Avenida Dantas Barreto	1.000	Av. Dantas Barreto	1
54	26182	Rua São João	1.000	Rua São João	2
55	56871	Avenida Recife	1.000	Av. Recife	1
55	5428	Rua Pintor Antônio Albuquerque	1.000	Rua Pintor Antônio Albuquerque	2
56	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
56	49018	Rua Marquês do Paraná	0.667	Rua Marquez do Paraná	2
57	175	Avenida Engenheiro Abdias de Carvalho	1.000	Av. Abdias de Carvalho	1
57	14982	Rua Carlos Gomes	1.000	Rua Carlos Gomes	2
58	175	Avenida Engenheiro Abdias de Carvalho	1.000	Av. Abdias de Carvalho	1
58	53775	Avenida General San Martin	1.000	Av. Gal. San Martin	2
59	56871	Avenida Recife	1.000	Av. Recife	1
59	32107	Rua Capitão Jacinto da Cruz	1.000	Rua Cap. Jacínto da Cruz	2
60	64378	Rua Dr Vicente Gomes	0.750	Rua Dr. Vincente Gomes	1
60	55093	Rua Setubal	1.000	Rua Setubal	2
61	8222	Estrada do Arraial	1.000	Estrada do Arraial	1
61	9814	Rua Cônego Barata	1.000	Rua Cônego Barata	2
62	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
62	9814	Rua Cônego Barata	1.000	Rua Cônego Barata	2
63	10529	Avenida Beberibe	1.000	Av. Beberibe	1
63	43974	Rua Mem de Sá	0.500	Rua Men de Sá	2
64	10529	Avenida Beberibe	1.000	Av. Beberibe	1
64	68039	Rua São Bento	1.000	Rua São Bento	2
65	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
65	46663	Rua Nova Descoberta	1.000	Rua Nova Descoberta	2
66	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
66	38482	Rua Padre Lemos	1.000	Rua Padre Lemos	2
67	53775	Avenida General San Martin	1.000	Av. Gal. San Martin	1
67	27022	Rua Gomes Taborda	1.000	Rua Gomes Taborda	2
68	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
68	28711	Rua Henrique Dias	1.000	Rua Henrique Dias	2
69	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
69	48500	Rua Paissandú	1.000	Rua Paissandú	2
70	32921	Rua Jean Emile Favre	1.000	Rua Jean Emile Favre	1
70	54240	Rua Saturnino Meireles	1.000	Rua Saturnino Meireles	2
71	34720	Rua Joaquim Nabuco	1.000	Rua Joaquim Nabuco	1
71	18252	Rua das Creoulas	1.000	Rua das Creoulas	2
72	56391	Avenida Sul Gov. Cid Sampaio	1.000	Av. Sul	1
73	46213	Rua Nicolau Pereira	1.000	Rua Nicolau Pereira	1
73	49905	Rua da Paz	1.000	Rua da Paz	2
74	8222	Estrada do Arraial	1.000	Estrada do Arraial	1
74	28517	Rua da Harmonia	1.000	Rua da Harmonia	2
75	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
75	15024	Avenida Governador Carlos de Lima Cavalcanti	0.750	Av. Carlos de Lima Cavalcante	2
76	75396	Cais Santa Rita	1.000	Cais de Santa Rita	1
77	10596	Avenida Beira Rio	1.000	Av. Beira Rio	1
78	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
78	12661	Rua Buenos Aires	1.000	Rua Buenos Aires	2
79	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
79	10260	Córrego do Bartolomeu	0.667	Rua Córrego do Bartolomeu	2
80	15903	Avenida Caxangá	1.000	Av. Caxangá	1
80	53775	Avenida General San Martin	1.000	Av. Gal. San Martin	2
81	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
81	53996	Avenida Santos Dumont	1.000	Av. Santos Dumont	2
82	36641	Avenida Doutor José Rufino	1.000	Av. Dr. José Rufino	1
82	34428	Rua João Teixeira	1.000	Rua João Teixeira	2
83	41459	Avenida Manoel Borba	1.000	Av. Manoel Borba	1
83	46337	Rua das Ninfas	1.000	Rua das Ninfas	2
84	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
84	8060	Avenida Armindo Moura	1.000	Av. Armindo Moura	2
85	56871	Avenida Recife	1.000	Av. Recife	1
85	22888	Rua Capitão Estevão Fernandes	1.000	Rua Cap. Estevão Fernandes	2
86	31135	Rua Barão de Itamaracá	1.000	Rua Barão de Itamaracá	1
86	22713	Rua do Espinheiro	1.000	Rua do Espinheiro	2
87	30104	Rua Imperial	1.000	Rua Imperial	1
87	98779	Rua São Lourenço da Mata	1.000	Rua Lourenço de Sá	2
88	107719	Avenida Mauricio de Nassau	1.000	Av. Maurício de Nassau	1
88	54283	Rua N s da Saúde	0.750	Rua Nossa Senhora da Saúde	2
89	33405	Avenida João de Barros	1.000	Av. João de Barros	1
89	22713	Rua do Espinheiro	1.000	Rua do Espinheiro	2
90	99295	Rua Bela Aurora	1.000	Rua da Aurora	1
90	43125	Avenida Mario Melo	1.000	Av. Mário Melo	2
91	23566	Rua Falcão de Lacerda	1.000	Rua Falcão de Lacerda	1
92	29335	Rua do Hospício	1.000	Rua do Hospício	1
92	57266	Rua do Riachuelo	1.000	Rua do Riachuelo	2
93	3620	Rua Alvares de Azevedo	1.000	Rua Álvares de Azevedo	1
93	27227	Rua Gouveia de Barros	1.000	Rua Gouveia de Barros	2
94	10650	Estrada de Belém	1.000	Estrada de Belém	1
94	52752	Rua Prudente de Moraes	1.000	Rua Prudente de Moraes	2
95	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
95	39683	Largo Dom Luiz	1.000	Largo D. Luiz	2
96	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
96	41114	Rua da Mangabeira	1.000	Rua da Mangabeira	2
97	46540	Avenida Norte Miguel Arraes de Alencar	1.000	Av. Norte Miguel Arraes de Alencar	1
98	53996	Avenida Santos Dumont	1.000	Av. Santos Dumont	1
98	36196	Rua Doutor José Maria	1.000	Rua Dr. José Maria	2
99	59382	Avenida Conselheiro Rosa e Silva	0.750	Av. Cons. Rosa e Siva	1
99	17442	Rua Barão de Contendas	1.000	Rua Barão de contendas	2
100	12009	Estrada do Bongi	0.667	Estrada Velha do Bongi	1
100	17922	Rua Cosme Viana	1.000	Rua Cosme Viana	2
101	32921	Rua Jean Emile Favre	1.000	Rua Jean Emile Favre	1
101	11657	Rua Blumenau	1.000	Rua Blumenau	2
102	59595	Avenida Rui Barbosa	1.000	Av. Rui Barbosa	1
102	18252	Rua das Creoulas	1.000	Rua das Creoulas	2
103	5770	Avenida  Antônio de Goes	0.667	Av. Antônio de Góis	1
103	41483	Rua Manoel de Brito	1.000	Rua Manoel de Brito	2
104	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
104	28932	Avenida Herculano Bandeira	1.000	Av. Herculano Bandeira	2
105	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
105	61220	Rua Tomé Gibson	0.667	Rua Thomé Gibson	2
106	56839	Rua Real da Torre	1.000	Rua Real da Torre	1
106	30600	Rua Conde de Irajá	1.000	Rua Conde de Irajá	2
107	19526	Avenida Dezessete de Agosto	1.000	Av. 17 de Agosto	1
107	8222	Estrada do Arraial	1.000	Estrada do Arraial	2
108	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
109	107719	Avenida Mauricio de Nassau	1.000	Av. Maurício de Nassau	1
110	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
110	50717	Rua Pereira da Costa	1.000	Rua Pereira da Costa	2
111	31186	Rua Itanagé	1.000	Rua Itanagé	1
111	11657	Rua Blumenau	1.000	Rua Blumenau	2
112	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
112	14702	Rua Padre Carapuceiro	1.000	Rua Padre Carapuceiro	2
113	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
113	22497	Rua Ernesto de Paula Santos	1.000	Rua Ernesto de Paula Santos	2
114	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
114	10898	Rua Coronel Benedito Chaves	0.667	Rua Cel.Benedito Chaves	2
115	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
115	14702	Rua Padre Carapuceiro	1.000	Rua Padre Carapuceiro	2
116	43451	Avenida Marechal Mascarenhas de Moraes	0.667	Av. Mascarenhas de Morais	1
117	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
118	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
119	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
119	47562	Rua Ondina	1.000	Rua Ondina	2
120	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
120	12629	Rua Bruno Veloso	1.000	Rua Bruno Veloso	2
121	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
121	8842	Rua Atlântico	1.000	Rua do Atlântico	2
122	56278	Rua Frei Matias Tévis	0.500	Av. Frei Matias Teves	1
122	33359	Rua Dr João Asfora	0.750	Rua Dr. João Ásfora	2
123	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
123	11126	Rua Dona Benvinda de Farias	1.000	Rua Benvinda de Farias	2
124	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
125	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
125	11258	Rua Padre Bernardino Pessoa	0.750	Rua Padre Bernadino Pessoa	2
126	59595	Avenida Rui Barbosa	1.000	Av. Rui Barbosa	1
126	22624	Rua Esmeraldino Bandeira	1.000	Rua Esmeraldino Bandeira	2
127	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
127	22497	Rua Ernesto de Paula Santos	1.000	Rua Ernesto de Paula Santos	2
128	20184	Avenida Engenheiro Domingos Ferreira	1.000	Av. Domingos Ferreira	1
128	10898	Rua Coronel Benedito Chaves	1.000	Rua Cel. Benedito Chaves	2
129	32972	Rua Visconde de Jequitinhonha	0.667	Av. Visconde de Jequitinhonha	1
129	56260	Rua Barão de Souza Leão	1.000	Rua Barão de Souza Leão	2
130	56871	Avenida Recife	1.000	Av. Recife	1
130	32921	Rua Jean Emile Favre	1.000	Rua Jean Emile Favre	2
131	10529	Avenida Beberibe	1.000	Av. Beberibe	1
131	35270	Avenida Professor José dos Anjos	1.000	Av. Prof. José dos Anjos	2
132	175	Avenida Engenheiro Abdias de Carvalho	1.000	Av. Abdias de Carvalho	1
132	33855	Rua João Ivo da Silva	1.000	Rua João Ivo	2
133	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
134	42986	Avenida Mário Álvares Pereira de Lyra	1.000	Av. Mário Álvares de Lyra	1
134	34908	Rua Professor Joaquim Xavier de Brito	1.000	Rua Prof. Joaquim Xavier de Brito	2
135	32921	Rua Jean Emile Favre	1.000	Rua Jean Emile Favre	1
135	70033	Avenida Costa e Silva	1.000	Av. Costa e Silva	2
136	49573	Rua Paula Batista	1.000	Rua Paula Batista	1
136	46027	Rua Major Nereu Guerra	1.000	Rua Nereu Guerra	2
137	28932	Avenida Herculano Bandeira	1.000	Av. Herculano Bandeira	1
137	44520	Rua Miranda Falcão	1.000	Rua Miranda Falcão	2
138	28932	Avenida Herculano Bandeira	1.000	Av. Herculano Bandeira	1
138	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	2
139	20184	Avenida Engenheiro Domingos Ferreira	1.000	Av. Domingos Ferreira	1
139	11126	Rua Dona Benvinda de Farias	1.000	Rua Benvinda de Farias	2
140	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
140	50717	Rua Pereira da Costa	1.000	Rua Pereira da Costa	2
141	19054	Avenida Dantas Barreto	1.000	Av. Dantas Barreto	1
141	55794	Rua Siqueira Campos	1.000	Rua Siqueira Campos	2
142	20184	Avenida Engenheiro Domingos Ferreira	1.000	Av. Domingos Ferreira	1
142	50717	Rua Pereira da Costa	1.000	Rua Pereira da Costa	2
143	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
143	28690	Rua Henrique Capitulino	1.000	Rua Henrique Capitulino	2
144	20184	Avenida Engenheiro Domingos Ferreira	1.000	Av. Domingos Ferreira	1
144	11258	Rua Padre Bernardino Pessoa	0.750	Rua Padre Bernadino Pessoa	2
145	20184	Avenida Engenheiro Domingos Ferreira	1.000	Av. Domingos Ferreira	1
145	5690	Rua Antônio Falcão	1.000	Rua Antônio Falcão	2
146	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
146	12629	Rua Bruno Veloso	1.000	Rua Bruno Veloso	2
147	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
147	57398	Rua Ribeiro de Brito	1.000	Rua Ribeiro de Brito	2
148	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
148	43044	Rua Professor Mário Castro	1.000	Rua Prof. Mário de Castro	2
149	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
149	9709	Rua Baltazar Passos	1.000	Rua Baltazar Passos	2
150	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
150	77046	Rua S D 1096	0.500	Rua Cel. Antônio Veloso	2
151	39063	Avenida Lins Petit	0.667	Av. Lins Pettit	1
152	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
152	10898	Rua Coronel Benedito Chaves	1.000	Rua Benedito Chaves	2
153	10529	Avenida Beberibe	1.000	Av. Beberibe	1
154	32972	Rua Visconde de Jequitinhonha	0.667	Av. Visconde de Jequitinhonha	1
154	9709	Rua Baltazar Passos	1.000	Rua Baltazar Passos	2
155	20184	Avenida Engenheiro Domingos Ferreira	1.000	Av. Domingos Ferreira	1
155	57398	Rua Ribeiro de Brito	1.000	Rua Ribeiro de Brito	2
156	36641	Avenida Doutor José Rufino	1.000	Av. Dr. José Rufino	1
157	6637	Rua Aprígio Guimarães	1.000	Rua Aprígio Guimarães	1
157	49638	Rua Paulino de Farias	1.000	Rua Paulino de Farias	2
158	32972	Rua Visconde de Jequitinhonha	0.667	Av. Visconde de Jequitinhonha	1
158	43044	Rua Professor Mário Castro	1.000	Rua Prof. Mário de Castro	2
159	56260	Rua Barão de Souza Leão	1.000	Rua Barão de Souza Leão	1
159	53317	Rua Sá e Souza	1.000	Rua Sá e Souza	2
160	45810	Rua dos Navegantes	1.000	Rua dos Navegantes	1
160	12629	Rua Bruno Veloso	1.000	Rua Bruno Veloso	2
161	43451	Avenida Marechal Mascarenhas de Moraes	0.667	Av. Mascarenhas de Morais	1
161	32921	Rua Jean Emile Favre	1.000	Rua Jean Emile de Favre	2
162	11738	Avenida Conde da Boa Vista	1.000	Av. Conde da Boa Vista	1
162	99295	Rua Bela Aurora	1.000	Rua da Aurora	2
163	19054	Avenida Dantas Barreto	1.000	Av. Dantas Barreto	1
163	120022	Rua Nova	1.000	Rua Nova	2
164	43370	Avenida Martins de Barros	1.000	Av. Martins de Barros	1
165	6564	Cais do Apolo	1.000	Cais do Apolo	1
165	47406	Avenida Marquês de Olinda	0.667	Av. Marquez de Olinda	2
166	22713	Rua do Espinheiro	1.000	Rua do Espinheiro	1
167	31810	Rua Princesa Isabel	1.000	Rua Princesa Isabel	1
167	101516	Rua da União	1.000	Rua da União	2
168	31810	Rua Princesa Isabel	1.000	Rua Princesa Isabel	1
168	117080	Rua da Saudade	1.000	Rua da Saudade	2
169	41459	Avenida Manoel Borba	1.000	Av. Manoel Borba	1
169	26565	Rua Gervásio Pires	1.000	Rua Gervásio Pires	2
170	52680	Rua do Príncipe	1.000	Rua do Príncipe	1
171	18481	Avenida Cruz Cabuga	1.000	Av. Cruz Cabugá	1
171	43125	Avenida Mario Melo	1.000	Av. Mário Melo	2
172	56286	Avenida Visconde de Suassuna	1.000	Av. Visconde de Suassuna	1
172	61492	Rua Treze de Maio	1.000	Rua 13 de Maio	2
173	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
173	9784	Rua Dr Bandeira Filho	0.750	Rua Dr. Bandeira Filho	2
174	1155	Avenida Governador Agamenon Magalhães	1.000	Av. Gov. Agamenon Magalhães	1
174	12165	Rua Dom Bosco	1.000	Rua Dom Bosco	2
175	57266	Rua do Riachuelo	1.000	Rua do Riachuelo	1
175	26565	Rua Gervásio Pires	1.000	Rua Gervásio Pires	2
176	52680	Rua do Príncipe	1.000	Rua do Príncipe	1
176	14761	Rua Bispo Cardoso Ayres	0.750	Rua Bispo Cardoso Aires	2
177	73237	Rua Amélia	1.000	Rua Amélia	1
177	107247	Rua Futuro	1.000	Rua do Futuro	2
178	73237	Rua Amélia	1.000	Rua Amélia	1
178	6017	Rua Antônio Novais	0.667	Rua Antônio Novaes	2
179	36420	Rua José Osório	1.000	Rua José Osório	1
179	56839	Rua Real da Torre	1.000	Rua Real da Torre	2
180	17264	Rua da Concórdia	1.000	Rua da Concórdia	1
180	26182	Rua São João	1.000	Rua de São João	2
181	19054	Avenida Dantas Barreto	1.000	Av. Dantas Barreto	1
181	50482	Rua do Peixoto	1.000	Rua do Peixoto	2
182	17264	Rua da Concórdia	1.000	Rua da Concórdia	1
182	50482	Rua do Peixoto	1.000	Rua do Peixoto	2
183	24228	Avenida Fernando Simões Barbosa	1.000	Av. Fernando Simões Barbosa	1
183	32140	Rua Jack Ayres	0.667	Rua Jack Aires	2
184	31135	Rua Barão de Itamaracá	1.000	Rua Barão de Itamaracá	1
184	29238	Rua da Hora	1.000	Rua da Hora	2
185	53775	Avenida General San Martin	1.000	Av. Gal. San Martin	1
185	16896	Rua Clotilde de Oliveira	0.750	Rua Próx. Clotilde de Oliveira	2
186	10529	Avenida Beberibe	1.000	Av. Beberibe	1
186	17523	Rua da Coragem	1.000	Rua Coragem	2
187	10529	Avenida Beberibe	1.000	Av. Beberibe	1
187	56952	Rua da Regeneração	1.000	Rua da Regeneração	2
188	53996	Avenida Santos Dumont	1.000	Av. Santos Dumont	1
188	107247	Rua Futuro	1.000	Rua do Futuro	2
189	41750	Rua Manuel de Medeiros	0.750	Rua Dom Manuel de Medeiros	1
190	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
190	38393	Rua Padre Leandro Camelo	0.750	Rua Frei Leandro Camelo	2
191	35467	Rua José Bonifácio	1.000	Rua José Bonifácio	1
191	30600	Rua Conde de Irajá	1.000	Rua Conde de Irajá	2
192	56839	Rua Real da Torre	1.000	Rua Real da Torre	1
192	72656	Rua Dom Manoel da Costa	1.000	Rua D. Manoel da Costa	2
193	35467	Rua José Bonifácio	1.000	Rua José Bonifácio	1
193	4723	Rua Padre Anchieta	1.000	Rua Padre Anchieta	2
194	43370	Avenida Martins de Barros	1.000	Av. Martins de Barros	1
194	117714	Rua Treze de Março	1.000	Rua 1º de Março	2
195	73237	Rua Amélia	1.000	Rua Amélia	1
195	22713	Rua do Espinheiro	1.000	Rua do Espinheiro	2
196	2496	Avenida Alfredo Lisboa	1.000	Av. Alfredo Lisboa	1
196	65218	Rua Vital de Oliveira	1.000	Rua Vital de Oliveira	2
197	11584	Rua do Sol	1.000	Rua do Sol	1
198	33405	Avenida João de Barros	1.000	Av. João de Barros	1
198	38679	Rua Dr Leopoldo Lins	1.000	Rua Leopoldo Lins	2
199	26182	Rua São João	1.000	Rua de São João	1
199	24996	Rua do Forte	1.000	Rua do Forte	2
200	20184	Avenida Engenheiro Domingos Ferreira	1.000	Av. Domingos Ferreira	1
200	61220	Rua Tomé Gibson	0.667	Rua Thomé Gibson	2
201	10650	Estrada de Belém	1.000	Estrada de Belém	1
201	6130	Rua Antônio Rangel	1.000	Rua Antônio Rangel	2
202	18481	Avenida Cruz Cabuga	1.000	Av. Cruz Cabugá	1
202	15466	Rua dos Casados	0.750	Rua Dna. Maria de Souza	2
203	46310	Rua Nossa Senhora do Carmo	0.750	Av. Nossa Senhora do Carmo	1
203	50393	Rua Imperador Dom Pedro II	1.000	Rua do Imperador	2
204	46310	Rua Nossa Senhora do Carmo	0.750	Av. Nossa Senhora do Carmo	1
204	43370	Avenida Martins de Barros	1.000	Av. Martins de Barros	2
205	56391	Avenida Sul Gov. Cid Sampaio	0.600	Av. Sul(Pista principal)	1
206	50393	Rua Imperador Dom Pedro II	1.000	Rua do Imperador	1
206	55794	Rua Siqueira Campos	1.000	Rua Siqueira Campos	2
207	30104	Rua Imperial	1.000	Rua Imperial	1
207	50482	Rua do Peixoto	1.000	Rua do Peixoto	2
208	36641	Avenida Doutor José Rufino	1.000	Av. Dr. José Rufino	1
