abreviatura,chave_normalizada,expansao,categoria,ambigua,prioridade,origem
Maj.-Brig.,MAJBRIG,Major-Brigadeiro,titulo_militar,nao,comum,lista fornecida
Mal.,MAL,Marechal,titulo_militar,nao,comum,lista fornecida
Sarg.,SARG,Sargento,titulo_militar,nao,comum,lista fornecida
Sgt.,SGT,Sargento,titulo_militar,nao,comum,adicionada
Sold.,SOLD,Soldado,titulo_militar,nao,comum,adicionada
Subten.,SUBTEN,Subtenente,titulo_militar,nao,comum,adicionada
Ten.,TEN,Tenente,titulo_militar,nao,comum,lista fornecida
Ten.-Cel.,TENCEL,Tenente-Coronel,titulo_militar,nao,comum,lista fornecida
T.te,TTE,Tenente,titulo_militar,nao,comum,lista fornecida
T.te-C.el,TTECEL,Tenente-Coronel,titulo_militar,nao,comum,lista fornecida
V.-Alm.,VALM,Vice-Almirante,titulo_militar,nao,comum,lista fornecida
Adv.,ADV,Advogado,titulo_profissional,nao,comum,lista fornecida
Arq.,ARQ,Arquiteto,titulo_profissional,nao,comum,adicionada
Arq.ª,ARQ,Arquiteta,titulo_profissional,nao,comum,adicionada
Cons.,CONS,Conselheiro,titulo_profissional,nao,comum,lista fornecida
Des.,DES,Desembargador,titulo_profissional,nao,comum,adicionada
Desemb.,DESEMB,Desembargador,titulo_profissional,nao,comum,lista fornecida
Dr.,DR,Doutor,titulo_profissional,nao,comum,lista fornecida
Dr.ª,DR,Doutora,titulo_profissional,nao,comum,lista fornecida
Dra.,DRA,Doutora,titulo_profissional,nao,comum,lista fornecida
Eng.,ENG,Engenheiro,titulo_profissional,nao,comum,variante comum
Eng.ª,ENG,Engenheira,titulo_profissional,nao,comum,lista fornecida
Eng.º,ENG,Engenheiro,titulo_profissional,nao,comum,lista fornecida
Escr.,ESCR,Escritor,titulo_profissional,nao,comum,lista fornecida
Jorn.,JORN,Jornalista,titulo_profissional,nao,comum,adicionada
Juiz.,JUIZ,Juiz,titulo_profissional,nao,comum,adicionada
Maest.,MAEST,Maestro,titulo_profissional,nao,comum,adicionada
Mtro.,MTRO,Maestro,titulo_profissional,nao,comum,adicionada
Poet.,POET,Poeta,titulo_profissional,nao,comum,adicionada
Proc.,PROC,Procurador,titulo_profissional,nao,comum,adicionada
Prof.,PROF,Professor,titulo_profissional,nao,comum,lista fornecida
Prof.ª,PROF,Professora,titulo_profissional,nao,comum,lista fornecida
Profa.,PROFA,Professora,titulo_profissional,nao,comum,adicionada
Prom.,PROM,Promotor,titulo_profissional,nao,comum,adicionada
Arceb.,ARCEB,Arcebispo,titulo_religioso,nao,comum,lista fornecida
Bp.,BP,Bispo,titulo_religioso,nao,comum,lista fornecida
Côn.,CON,Cônego,titulo_religioso,nao,comum,lista fornecida
Fr.,FR,Frei,titulo_religioso,nao,comum,lista fornecida
Irm.,IRM,Irmã,titulo_religioso,sim,comum,adicionada
Irm.,IRM,Irmão,titulo_religioso,sim,comum,adicionada
Mons.,MONS,Monsenhor,titulo_religioso,nao,comum,lista fornecida
N. S.,NS,Nossa Senhora,titulo_religioso,sim,comum,adicionada
Nsa. Sra.,NSASRA,Nossa Senhora,titulo_religioso,nao,comum,adicionada
N. Sr.,NSR,Nosso Senhor,titulo_religioso,nao,comum,adicionada
N. Sra.,NSRA,Nossa Senhora,titulo_religioso,nao,comum,adicionada
P.,P,Padre,titulo_religioso,sim,comum,lista fornecida
Pe.,PE,Padre,titulo_religioso,nao,comum,lista fornecida
Rev.,REV,Reverendo,titulo_religioso,nao,comum,lista fornecida
S.,S,Santa,titulo_religioso,sim,comum,lista fornecida
S.,S,Santo,titulo_religioso,sim,comum,lista fornecida
S.,S,São,titulo_religioso,sim,comum,lista fornecida
S.ta,STA,Santa,titulo_religioso,nao,comum,lista fornecida
Sta.,STA,Santa,titulo_religioso,nao,comum,adicionada
S.to,STO,Santo,titulo_religioso,nao,comum,lista fornecida
Sto.,STO,Santo,titulo_religioso,nao,comum,lista fornecida
D.,D,Dom,tratamento,sim,comum,lista fornecida
D.,D,Dona,tratamento,sim,comum,lista fornecida
Da.,DA,Dona,tratamento,nao,comum,lista fornecida
Sr.,SR,Senhor,tratamento,nao,comum,adicionada
Sra.,SRA,Senhora,tratamento,nao,comum,adicionada
